Hz,dBm
9.771400000E+06,-8.71844E+01
9.811200000E+06,-9.77344E+01
9.811200000E+06,-8.83533E+01
9.851000000E+06,-9.69470E+01
9.851000000E+06,-8.86554E+01
9.890800000E+06,-9.61414E+01
9.890800000E+06,-8.61774E+01
9.930600000E+06,-9.91412E+01
9.930600000E+06,-8.89484E+01
9.970400000E+06,-9.69867E+01
9.970400000E+06,-8.70746E+01
1.001020000E+07,-9.83936E+01
1.001020000E+07,-8.71875E+01
1.005000000E+07,-9.76367E+01
1.005000000E+07,-8.92749E+01
1.008980000E+07,-9.69714E+01
1.008980000E+07,-8.92688E+01
1.012960000E+07,-9.59888E+01
1.012960000E+07,-9.02332E+01
1.016940000E+07,-1.02458E+02
1.016940000E+07,-8.87317E+01
1.020920000E+07,-9.74353E+01
1.020920000E+07,-9.01141E+01
1.024900000E+07,-1.00600E+02
1.024900000E+07,-8.95312E+01
1.028880000E+07,-1.01094E+02
1.028880000E+07,-9.17010E+01
1.032860000E+07,-9.78198E+01
1.032860000E+07,-8.85181E+01
1.036840000E+07,-9.93945E+01
1.036840000E+07,-9.00256E+01
1.040820000E+07,-9.72491E+01
1.040820000E+07,-8.82556E+01
1.044800000E+07,-1.02071E+02
1.044800000E+07,-8.92596E+01
1.048780000E+07,-9.72552E+01
1.048780000E+07,-8.83655E+01
1.052760000E+07,-1.01442E+02
1.052760000E+07,-8.97998E+01
1.056740000E+07,-9.66266E+01
1.056740000E+07,-9.00226E+01
1.060720000E+07,-9.82104E+01
1.060720000E+07,-8.85303E+01
1.064700000E+07,-9.84424E+01
1.064700000E+07,-9.07123E+01
1.068680000E+07,-9.81525E+01
1.068680000E+07,-8.66595E+01
1.072660000E+07,-9.66754E+01
1.072660000E+07,-8.97632E+01
1.076640000E+07,-9.68768E+01
1.076640000E+07,-8.98700E+01
1.080620000E+07,-9.57965E+01
1.080620000E+07,-9.01324E+01
1.084600000E+07,-9.67792E+01
1.084600000E+07,-9.02118E+01
1.088580000E+07,-9.66968E+01
1.088580000E+07,-8.88171E+01
1.092560000E+07,-9.68921E+01
1.092560000E+07,-8.93420E+01
1.096540000E+07,-9.53845E+01
1.096540000E+07,-8.84723E+01
