Hz,dBm
1.052760000E+07,-9.05872E+01
1.056740000E+07,-9.57477E+01
1.056740000E+07,-8.84967E+01
1.060720000E+07,-9.69165E+01
1.060720000E+07,-8.88934E+01
1.064700000E+07,-9.41913E+01
1.064700000E+07,-8.72424E+01
1.068680000E+07,-9.65320E+01
1.068680000E+07,-8.80939E+01
1.072660000E+07,-9.56805E+01
1.072660000E+07,-8.93176E+01
1.076640000E+07,-9.56836E+01
1.076640000E+07,-8.88690E+01
1.080620000E+07,-9.69501E+01
1.080620000E+07,-8.74683E+01
1.084600000E+07,-9.92603E+01
1.084600000E+07,-8.97296E+01
1.088580000E+07,-9.36511E+01
1.088580000E+07,-8.78131E+01
1.092560000E+07,-9.90802E+01
1.092560000E+07,-8.69586E+01
1.096540000E+07,-9.64099E+01
1.096540000E+07,-8.94519E+01
1.100520000E+07,-9.54120E+01
1.100520000E+07,-8.85944E+01
1.104500000E+07,-9.66937E+01
1.104500000E+07,-8.78253E+01
1.108480000E+07,-9.87628E+01
1.108480000E+07,-8.88843E+01
1.112460000E+07,-9.63275E+01
1.112460000E+07,-8.85150E+01
1.116440000E+07,-1.02315E+02
1.116440000E+07,-9.07550E+01
1.120420000E+07,-1.01128E+02
1.120420000E+07,-9.03430E+01
1.124400000E+07,-9.68616E+01
1.124400000E+07,-8.87225E+01
1.128380000E+07,-9.90497E+01
1.128380000E+07,-9.09747E+01
1.132360000E+07,-9.67120E+01
1.132360000E+07,-8.84631E+01
1.136340000E+07,-9.33582E+01
1.136340000E+07,-8.65558E+01
1.140320000E+07,-9.88483E+01
1.140320000E+07,-9.00348E+01
1.144300000E+07,-9.80212E+01
1.144300000E+07,-8.77368E+01
1.148280000E+07,-9.79297E+01
1.148280000E+07,-8.87500E+01
1.152260000E+07,-9.96997E+01
1.152260000E+07,-8.85303E+01
1.156240000E+07,-9.96753E+01
1.156240000E+07,-8.89056E+01
1.160220000E+07,-9.64862E+01
1.160220000E+07,-9.05475E+01
1.164200000E+07,-9.80029E+01
1.164200000E+07,-9.02911E+01
1.168180000E+07,-9.70325E+01
1.168180000E+07,-8.82190E+01
1.172160000E+07,-9.51862E+01
1.172160000E+07,-8.88293E+01
1.176140000E+07,-1.00045E+02
1.176140000E+07,-8.83929E+01
1.180120000E+07,-9.98767E+01
1.180120000E+07,-9.13806E+01
1.184100000E+07,-9.80975E+01
1.184100000E+07,-8.92688E+01
1.188080000E+07,-9.74048E+01
1.188080000E+07,-8.78986E+01
1.192060000E+07,-9.73773E+01
1.192060000E+07,-8.97662E+01
1.196040000E+07,-9.92053E+01
